Transaction_ID,Date,SKU_ID,Product_Name,Category,Quantity_Sold,Unit_Price,Total_Amount,Store_Location,Payment_Method,Discount_Applied,Customer_Type,Channel
T000015,2025-02-01,14909382,Amul Cassata Slice 120ml,Ice Creams,7,56.0,392.0,North,Card,58.06,Business,Offline Store
T000016,2025-07-12,21365294,Amul Greek Yogurt Blueberry 100g,Probiotic & Health Range,16,245.0,3920.0,Central,UPI,370.38,Seasonal,franchise store
T000017,2024-02-08,92496774,Amul Cheese Slices 200g,Cheese & Cheese Products,8,357.0,2856.0,West,Cash,71.53,Loyal,franchise store
T000018,2023-09-10,14909382,Amul Cassata Slice 120ml,Ice Creams,12,56.0,672.0,North,Wallet,67.1,First-time,franchise store
T000019,2025-04-27,82147020,Amul Almond Bar 40g,Chocolates,15,57.0,855.0,Central,Card,71.21,Business,Online Portal
T000020,2024-09-06,14415647,Amul Kool Rose Milk 200ml,Beverages,11,120.0,1320.0,West,UPI,35.13,Family,Online Portal
T000021,2025-08-06,94900507,Amul Peanut Spread Crunchy 200g,Butter & Spreads,10,100.0,1000.0,North,Wallet,154.32,Returning,Mobile App
T000022,2025-03-10,63607529,Amul Emmental Cheese 200g,Cheese & Cheese Products,16,500.0,8000.0,East,Net Banking,609.58,Seasonal,Mobile App
T000023,2024-08-02,44564353,Amul Fresh Cream 250ml,Dairy Products,9,100.0,900.0,East,UPI,48.95,First-time,franchise store
T000024,2025-06-04,70537390,Amul Cheese Spread Red Chilli Flakes 200g,Butter & Spreads,8,68.0,544.0,East,UPI,59.87,Regular,Offline Store
T000025,2024-01-21,70549300,Amul Dark Chocolate 150g,Chocolates,16,114.0,1824.0,South,UPI,170.98,Returning,franchise store
T000026,2023-11-29,37505707,Amul Choco Chips Ice Cream 1L,Ice Creams,8,300.0,2400.0,East,Card,399.65,First-time,franchise store
T000027,2025-02-08,58937020,Amul Chocolate Brownie 100g,Bakery Items,15,218.0,3270.0,South,UPI,143.09,Returning,franchise store
T000028,2023-08-29,57937380,Amul Protein Shake Chocolate 200ml,Health & Nutrition,34,600.0,20400.0,West,Cash,2420.49,Returning,franchise store
T000029,2025-04-19,53074058,Amul Cheddar Cheese 200g,Cheese & Cheese Products,19,500.0,9500.0,East,UPI,633.26,Family,Mobile App
T000030,2025-02-09,24078757,Amul Kesar Pista Ice Cream 1L,Ice Creams,14,300.0,4200.0,West,Cash,561.56,Seasonal,Online Portal
T000031,2025-01-20,16443921,Amul Fruit & Nut Chocolate 150g,Chocolates,4,150.0,600.0,South,Net Banking,112.88,Returning,franchise store
T000032,2024-07-01,97241768,Amul Chocolate Ice Cream 1L,Ice Creams,20,300.0,6000.0,South,Cash,694.07,Family,Mobile App
T000033,2024-10-02,43280889,Amul Malai Paneer 1kg,Dairy Products,8,100.0,800.0,West,Cash,100.3,Loyal,Offline Store
T000034,2024-09-05,18315080,Amul Paneer 200g,Dairy Products,24,61.0,1464.0,South,Wallet,270.02,New,Online Portal
T000035,2024-05-27,80405061,Amul A2 Cow Milk 1L,Others,15,500.0,7500.0,West,Cash,605.24,VIP,Mobile App
T000036,2025-04-04,16443921,Amul Fruit & Nut Chocolate 150g,Chocolates,8,150.0,1200.0,North,Wallet,48.53,Family,Mobile App
T000037,2024-10-09,83184284,Amul Kool Koko 200ml,Beverages,15,120.0,1800.0,East,Net Banking,41.98,First-time,Offline Store
T000038,2025-05-26,12571772,Amul Basundi 1L,Specialty Products,17,400.0,6800.0,North,UPI,685.6,First-time,franchise store
T000039,2023-08-23,6094027,Amul Kool Flavoured Milk Bottle 200ml,Beverages,17,120.0,2040.0,North,Card,68.62,Loyal,Offline Store
T000040,2025-08-13,56068016,Amul Fortified Milk 1L,Health & Nutrition,9,600.0,5400.0,South,Card,161.65,Family,Offline Store
T000041,2023-10-27,83734632,Amul Cheese Spread Yummy Plain 200g,Butter & Spreads,17,177.0,3009.0,Central,Card,135.85,New,franchise store
T000042,2024-11-28,51783426,Amul Cold Coffee 200ml,Beverages (New Flavors),19,375.0,7125.0,South,Cash,300.72,New,franchise store
T000043,2025-04-10,25032666,Amul Gold Milk 1L,Dairy Products,17,100.0,1700.0,North,Net Banking,258.29,Returning,franchise store
T000044,2025-08-18,57937380,Amul Protein Shake Chocolate 200ml,Health & Nutrition,20,600.0,12000.0,North,Cash,798.08,Loyal,franchise store
T000045,2025-01-14,24078757,Amul Kesar Pista Ice Cream 1L,Ice Creams,27,300.0,8100.0,East,Cash,32.98,First-time,Offline Store
T000046,2024-03-15,48334136,Amul Protein Shake Vanilla 200ml,Health & Nutrition,14,600.0,8400.0,Central,Card,867.88,Returning,Offline Store
T000047,2025-06-03,16994393,Amul Taaza Milk 1L,Dairy Products,13,100.0,1300.0,North,UPI,5.96,Seasonal,Mobile App
T000048,2025-03-21,57937380,Amul Protein Shake Chocolate 200ml,Health & Nutrition,20,600.0,12000.0,Central,Net Banking,1660.24,First-time,Mobile App
T000049,2024-01-20,16367289,Amul Strawberry Magic 750ml,Ice Creams,4,300.0,1200.0,South,UPI,94.13,Returning,franchise store
T000050,2024-09-06,42543602,Amul Choco Milk 200ml,Beverages (New Flavors),7,301.0,2107.0,Central,Wallet,76.96,First-time,franchise store
T000051,2025-03-16,14701085,Amul Kool Elaichi Milk 200ml,Beverages,21,120.0,2520.0,West,UPI,124.2,Seasonal,Mobile App
T000052,2024-02-27,14415647,Amul Kool Rose Milk 200ml,Beverages,7,120.0,840.0,North,Wallet,11.59,Returning,Mobile App
T000053,2025-05-26,84729804,Amul Greek Yogurt Mango 100g,Probiotic & Health Range,10,178.0,1780.0,Central,Net Banking,267.5,Occasional,franchise store
T000054,2025-01-08,41910047,Amul Gold UHT Milk 1L,UHT & Long Life,10,150.0,1500.0,North,Card,237.06,Returning,Offline Store
T000055,2023-08-27,91017437,Amul Lactose-Free Milk 1L,Dairy Products,16,100.0,1600.0,South,Cash,251.87,Returning,Online Portal
T000056,2023-10-01,14701085,Amul Kool Elaichi Milk 200ml,Beverages,13,120.0,1560.0,Central,Card,107.41,First-time,Online Portal
T000057,2024-02-13,93245593,Amul Multigrain Dahi 200g,Health & Nutrition,11,158.0,1738.0,West,Net Banking,161.0,Family,franchise store
T000058,2024-11-09,63607529,Amul Emmental Cheese 200g,Cheese & Cheese Products,13,500.0,6500.0,West,Net Banking,1153.94,Occasional,Mobile App
T000059,2025-01-24,1148473,Amul Camel Milk 500ml,Others,10,500.0,5000.0,East,UPI,616.82,Regular,franchise store
T000060,2023-12-22,16267619,Amul Garlic & Herbs Butter 100g,Butter & Spreads,17,50.0,850.0,East,Cash,70.76,Returning,Online Portal
T000061,2025-01-19,36576395,Amul Kool Café Can 250ml,Others,11,500.0,5500.0,Central,Card,374.03,Loyal,Mobile App
T000062,2025-07-26,37505707,Amul Choco Chips Ice Cream 1L,Ice Creams,10,300.0,3000.0,East,UPI,232.11,Loyal,franchise store
T000063,2024-12-03,25032666,Amul Gold Milk 1L,Dairy Products,15,100.0,1500.0,East,UPI,94.5,Returning,Mobile App
T000064,2023-09-05,92496774,Amul Cheese Slices 200g,Cheese & Cheese Products,12,357.0,4284.0,North,Card,530.93,Seasonal,Online Portal
T000065,2024-04-13,57937380,Amul Protein Shake Chocolate 200ml,Health & Nutrition,9,600.0,5400.0,North,Card,380.17,New,franchise store
T000066,2024-05-21,70167474,Amul Frozen Paratha 400g,Bakery & Frozen,7,250.0,1750.0,East,Net Banking,348.75,Family,Mobile App
T000067,2024-03-31,35651383,Amul India Twilight Tryst 150g,Chocolates,21,150.0,3150.0,East,Wallet,552.54,Occasional,franchise store
T000068,2024-06-13,93245593,Amul Multigrain Dahi 200g,Health & Nutrition,11,158.0,1738.0,East,Cash,50.66,Business,franchise store
T000069,2024-03-12,83184284,Amul Kool Koko 200ml,Beverages,12,120.0,1440.0,South,Card,159.39,Occasional,Offline Store
T000070,2024-01-10,48334136,Amul Protein Shake Vanilla 200ml,Health & Nutrition,28,600.0,16800.0,East,Net Banking,201.45,New,Offline Store
T000071,2023-11-03,24078757,Amul Kesar Pista Ice Cream 1L,Ice Creams,11,300.0,3300.0,Central,UPI,324.21,Family,Online Portal
T000072,2024-01-18,43280889,Amul Malai Paneer 1kg,Dairy Products,15,100.0,1500.0,West,Card,141.83,First-time,Offline Store
T000073,2024-07-22,37505707,Amul Choco Chips Ice Cream 1L,Ice Creams,9,300.0,2700.0,East,Wallet,195.98,Family,Offline Store
T000074,2025-08-10,16443921,Amul Fruit & Nut Chocolate 150g,Chocolates,14,150.0,2100.0,South,Cash,63.49,Business,Online Portal
T000075,2024-03-21,92496774,Amul Cheese Slices 200g,Cheese & Cheese Products,16,357.0,5712.0,Central,Net Banking,832.79,New,franchise store
T000076,2025-05-25,83950377,Amul Veggie Sticks 100g,Snacks & Savories,12,85.0,1020.0,South,Cash,58.94,Loyal,Online Portal
T000077,2024-07-12,23548091,Amul Chocozoo Kids Pack 250g,Chocolates,10,150.0,1500.0,North,Wallet,209.84,Business,franchise store
T000078,2024-02-07,5752287,Amul Camel Milk Chocolate 150g,Others,11,123.0,1353.0,West,Card,235.55,Loyal,Online Portal
T000079,2024-02-19,68165390,Amul Kool Café 200ml,Beverages,11,51.0,561.0,South,Wallet,99.99,New,Offline Store
T000080,2025-07-11,25444452,Amul Ice Cream Cake 1kg,Others,11,500.0,5500.0,South,Cash,977.95,New,Online Portal
T000081,2024-02-13,51783426,Amul Cold Coffee 200ml,Beverages (New Flavors),18,375.0,6750.0,East,Net Banking,1099.76,New,Mobile App
T000082,2024-06-11,11288909,Amul Mithai Mate Condensed Milk 400g,Dairy Products,7,100.0,700.0,Central,Card,25.55,Occasional,Mobile App
T000083,2023-11-13,31363198,Amul Mango Lassi 250ml,Beverages (New Flavors),15,600.0,9000.0,North,Card,1386.45,Regular,Mobile App
T000084,2025-02-23,91017437,Amul Lactose-Free Milk 1L,Dairy Products,17,100.0,1700.0,North,Card,244.72,Returning,Offline Store
T000085,2023-11-29,58937020,Amul Chocolate Brownie 100g,Bakery Items,17,218.0,3706.0,North,Wallet,277.04,Returning,Mobile App
T000086,2023-10-05,70537390,Amul Cheese Spread Red Chilli Flakes 200g,Butter & Spreads,12,68.0,816.0,North,Card,88.52,Returning,Mobile App
T000087,2024-01-02,54796676,Amul White Butter 500g,Ghee & Cooking Essentials,11,800.0,8800.0,South,UPI,699.18,New,franchise store
T000088,2024-12-17,72940877,Amul Butter Cookies 200g,Others,10,500.0,5000.0,North,Card,426.74,First-time,Online Portal
T000089,2024-05-23,37245757,Amul Spicy Potato Chips 200g,Snacks & Savories,19,54.0,1026.0,North,UPI,133.15,Returning,Offline Store
T000090,2024-09-12,53074058,Amul Cheddar Cheese 200g,Cheese & Cheese Products,22,500.0,11000.0,South,Wallet,1772.27,Seasonal,Online Portal
T000091,2024-07-26,83184284,Amul Kool Koko 200ml,Beverages,14,120.0,1680.0,North,Wallet,157.22,Occasional,Online Portal
T000092,2024-01-30,78916050,Amul Gouda Cheese 200g,Cheese & Cheese Products,6,500.0,3000.0,East,Cash,574.39,Occasional,Mobile App
T000093,2024-02-05,58937020,Amul Chocolate Brownie 100g,Bakery Items,11,218.0,2398.0,East,UPI,344.75,Returning,Mobile App
T000094,2025-02-19,40523156,Amul Taaza UHT Milk 1L,UHT & Long Life,18,150.0,2700.0,South,Net Banking,316.37,First-time,Offline Store
T000095,2023-09-02,64829395,Amul Cream Tetra Pack 250ml,UHT & Long Life,11,150.0,1650.0,East,Card,70.51,VIP,Offline Store
T000096,2023-10-19,88384214,Amul Lite Spread 250g,Butter & Spreads,15,54.0,810.0,Central,Cash,118.88,First-time,franchise store
T000097,2023-09-05,68137847,Amul Kulfi 60ml,Ice Creams,9,107.0,963.0,East,UPI,107.87,Occasional,Mobile App
T000098,2024-10-09,7241154,Amul Rajbhog Ice Cream 1L,Ice Creams,7,300.0,2100.0,East,Wallet,53.01,Business,Mobile App
T000099,2023-10-11,4957799,Amul Masti Dahi 400g,Probiotic & Health Range,10,250.0,2500.0,West,Cash,373.98,VIP,Offline Store
T000100,2023-11-04,44564353,Amul Fresh Cream 250ml,Dairy Products,17,100.0,1700.0,South,UPI,221.23,Loyal,Offline Store
T000101,2024-11-21,18009972,Amul Organic Ghee 500ml,Others,16,500.0,8000.0,North,Cash,445.98,Loyal,Online Portal
T000102,2024-04-25,91017437,Amul Lactose-Free Milk 1L,Dairy Products,13,100.0,1300.0,Central,UPI,132.78,Family,Offline Store
T000103,2024-07-15,26980737,Amul Tru Orange Juice 200ml,Beverages,23,116.0,2668.0,East,Card,470.45,Family,Online Portal
T000104,2025-04-20,70134094,Amul Tru Apple Juice 200ml,Beverages,14,74.0,1036.0,West,Card,58.18,Occasional,Online Portal
T000105,2024-06-30,45319204,Amul Slim UHT Milk 1L,UHT & Long Life,13,150.0,1950.0,South,Net Banking,57.94,VIP,Online Portal
T000106,2025-05-26,44564353,Amul Fresh Cream 250ml,Dairy Products,5,100.0,500.0,North,UPI,49.63,Loyal,Offline Store
T000107,2025-08-09,53074058,Amul Cheddar Cheese 200g,Cheese & Cheese Products,10,500.0,5000.0,Central,Cash,727.88,Regular,Mobile App
T000108,2024-08-16,26598550,Amul Masti Buttermilk 500ml,Dairy Products,9,100.0,900.0,North,Wallet,18.62,Occasional,Mobile App
T000109,2024-05-04,83734632,Amul Cheese Spread Yummy Plain 200g,Butter & Spreads,16,177.0,2832.0,Central,Wallet,493.8,Returning,Online Portal
T000110,2025-06-10,40563084,Amul Pure Ghee 500ml,Ghee & Cooking Essentials,18,411.0,7398.0,South,Card,870.82,VIP,Online Portal
T000111,2024-02-22,14921131,Amul Cheesy Corn Puffs 150g,Snacks & Savories,22,550.0,12100.0,South,UPI,1010.04,First-time,Offline Store
T000112,2024-08-09,88384214,Amul Lite Spread 250g,Butter & Spreads,26,54.0,1404.0,East,Card,270.81,Loyal,Offline Store
T000113,2025-08-08,26598550,Amul Masti Buttermilk 500ml,Dairy Products,8,100.0,800.0,North,Wallet,13.42,Regular,Mobile App
T000114,2025-04-19,48334136,Amul Protein Shake Vanilla 200ml,Health & Nutrition,18,600.0,10800.0,North,Cash,1936.65,Business,Mobile App
T000115,2025-07-31,74913534,Amul Pro Milk Drink 200g,Beverages,20,120.0,2400.0,Central,Card,67.45,Business,Mobile App
T000116,2024-10-22,6094027,Amul Kool Flavoured Milk Bottle 200ml,Beverages,26,120.0,3120.0,South,Net Banking,355.96,Seasonal,Mobile App
T000117,2024-03-19,51772550,Amul Pizza Base 200g,Bakery & Frozen,14,250.0,3500.0,West,Net Banking,364.26,Seasonal,Offline Store
T000118,2024-03-07,70167474,Amul Frozen Paratha 400g,Bakery & Frozen,16,250.0,4000.0,South,UPI,390.44,Seasonal,Online Portal
T000119,2025-05-07,68137847,Amul Kulfi 60ml,Ice Creams,18,107.0,1926.0,Central,Card,122.19,New,Mobile App
T000120,2024-01-29,25444452,Amul Ice Cream Cake 1kg,Others,25,500.0,12500.0,East,Wallet,966.81,VIP,Online Portal
T000121,2025-01-24,70167474,Amul Frozen Paratha 400g,Bakery & Frozen,13,250.0,3250.0,North,Card,440.83,Business,Mobile App
T000122,2025-01-16,78916050,Amul Gouda Cheese 200g,Cheese & Cheese Products,6,500.0,3000.0,South,Net Banking,207.0,Occasional,Mobile App
T000123,2024-04-24,93245593,Amul Multigrain Dahi 200g,Health & Nutrition,11,158.0,1738.0,North,UPI,86.75,Regular,Mobile App
T000124,2024-09-09,43726257,Amul Shrikhand Kesar 500g,Specialty Products,14,400.0,5600.0,South,Cash,178.57,Business,Online Portal
T000125,2024-07-08,41910047,Amul Gold UHT Milk 1L,UHT & Long Life,4,150.0,600.0,South,Wallet,0.55,Returning,franchise store
T000126,2024-02-18,14415647,Amul Kool Rose Milk 200ml,Beverages,17,120.0,2040.0,North,Net Banking,191.51,Occasional,Mobile App
T000127,2025-01-12,31256377,Amul Happy Treats Veggie Stix 400g,Others,15,500.0,7500.0,North,Wallet,852.51,Regular,franchise store
T000128,2024-10-30,16267619,Amul Garlic & Herbs Butter 100g,Butter & Spreads,17,50.0,850.0,West,Net Banking,142.38,Loyal,Mobile App
T000129,2024-02-14,64829395,Amul Cream Tetra Pack 250ml,UHT & Long Life,28,150.0,4200.0,East,Wallet,377.67,Seasonal,franchise store
T000130,2024-05-27,93245593,Amul Multigrain Dahi 200g,Health & Nutrition,10,158.0,1580.0,Central,UPI,14.51,First-time,Offline Store
T000131,2025-08-03,81997831,Amul Cheese Crackers 120g,Snacks & Savories,24,509.0,12216.0,East,UPI,2090.85,First-time,franchise store
T000132,2024-01-17,26598550,Amul Masti Buttermilk 500ml,Dairy Products,8,100.0,800.0,East,Cash,100.98,Business,Online Portal
T000133,2024-01-16,11288909,Amul Mithai Mate Condensed Milk 400g,Dairy Products,14,100.0,1400.0,North,Card,44.44,Returning,Offline Store
T000134,2024-03-10,79666428,Amul Pizza Cheese 1kg,Cheese & Cheese Products,12,500.0,6000.0,West,Cash,64.37,Occasional,Online Portal
T000135,2025-04-24,88384214,Amul Lite Spread 250g,Butter & Spreads,25,54.0,1350.0,South,Cash,173.0,First-time,franchise store
T000136,2024-11-08,57348568,Amul Peanut Spread Creamy 200g,Butter & Spreads,9,51.0,459.0,South,Wallet,22.51,Loyal,Offline Store
T000137,2025-02-04,12571772,Amul Basundi 1L,Specialty Products,12,400.0,4800.0,South,Card,675.42,Seasonal,franchise store
T000138,2023-10-30,33992976,Amul Probiotic Dahi 400g,Probiotic & Health Range,7,250.0,1750.0,Central,UPI,22.88,Loyal,franchise store
T000139,2024-07-19,68137847,Amul Kulfi 60ml,Ice Creams,13,107.0,1391.0,South,Cash,21.95,Regular,Online Portal
T000140,2025-02-22,59239307,Amul Mozzarella Cheese 200g,Cheese & Cheese Products,10,500.0,5000.0,North,UPI,25.72,VIP,Offline Store
T000141,2025-06-08,37505707,Amul Choco Chips Ice Cream 1L,Ice Creams,12,300.0,3600.0,East,Cash,683.36,New,Online Portal
T000142,2025-05-24,12571772,Amul Basundi 1L,Specialty Products,13,400.0,5200.0,Central,Card,800.69,Family,Online Portal
T000143,2024-12-31,70549300,Amul Dark Chocolate 150g,Chocolates,15,114.0,1710.0,Central,Card,86.92,VIP,Online Portal
T000144,2024-02-17,70537390,Amul Cheese Spread Red Chilli Flakes 200g,Butter & Spreads,10,68.0,680.0,South,Card,96.97,Business,Mobile App
T000145,2025-06-25,12337385,Amul Shrikhand Elaichi 500g,Specialty Products,10,400.0,4000.0,Central,UPI,596.67,VIP,Mobile App
T000146,2024-04-27,70167474,Amul Frozen Paratha 400g,Bakery & Frozen,13,250.0,3250.0,North,Card,2.99,Business,franchise store
T000147,2025-03-11,14701085,Amul Kool Elaichi Milk 200ml,Beverages,15,120.0,1800.0,West,Cash,357.11,First-time,Offline Store
T000148,2024-03-28,93684965,Amul Mithai Mate UHT 200g,UHT & Long Life,13,150.0,1950.0,North,UPI,195.89,Loyal,Online Portal
T000149,2025-06-17,18439717,Amul Frozen Cheese Corn Nuggets 400g,Bakery & Frozen,6,250.0,1500.0,North,Wallet,78.78,Regular,Online Portal
T000150,2024-04-04,70167474,Amul Frozen Paratha 400g,Bakery & Frozen,9,250.0,2250.0,West,Card,263.81,Occasional,Offline Store
T000151,2025-03-23,70549300,Amul Dark Chocolate 150g,Chocolates,9,114.0,1026.0,South,Card,143.17,Family,Mobile App
T000152,2024-07-30,25444452,Amul Ice Cream Cake 1kg,Others,13,500.0,6500.0,North,Wallet,343.58,VIP,franchise store
T000153,2025-04-21,11289388,Amul Rasmalai 500g,Specialty Products,16,400.0,6400.0,North,Cash,580.69,Family,Mobile App
T000154,2024-11-21,78916050,Amul Gouda Cheese 200g,Cheese & Cheese Products,8,500.0,4000.0,East,Wallet,254.12,Seasonal,Offline Store
T000155,2024-08-20,91980489,Amul Masala Peanuts 250g,Snacks & Savories,7,258.0,1806.0,East,Cash,271.12,Occasional,franchise store
T000156,2024-10-28,42543602,Amul Choco Milk 200ml,Beverages (New Flavors),8,301.0,2408.0,West,Net Banking,212.44,Loyal,franchise store
T000157,2024-07-12,91980489,Amul Masala Peanuts 250g,Snacks & Savories,18,258.0,4644.0,West,Net Banking,522.81,First-time,Online Portal
T000158,2025-07-09,71235158,Amul Strawberry Lassi 250ml,Beverages (New Flavors),10,600.0,6000.0,South,Wallet,659.39,Family,Mobile App
T000159,2024-11-15,57937380,Amul Protein Shake Chocolate 200ml,Health & Nutrition,17,600.0,10200.0,North,Net Banking,2005.77,Business,Mobile App
T000160,2024-08-19,14909382,Amul Cassata Slice 120ml,Ice Creams,13,56.0,728.0,South,Wallet,56.23,Occasional,Mobile App
T000161,2025-08-17,80016687,Amul Butter 100g,Butter & Spreads,20,198.0,3960.0,South,Wallet,689.27,Seasonal,franchise store
T000162,2024-06-25,13006228,Amul Dark Chocolate Ice Cream 1L,Ice Creams,19,300.0,5700.0,Central,Wallet,439.83,Loyal,Online Portal
T000163,2024-10-30,68165390,Amul Kool Café 200ml,Beverages,10,51.0,510.0,West,Cash,39.23,First-time,Offline Store
T000164,2025-03-01,80405061,Amul A2 Cow Milk 1L,Others,9,500.0,4500.0,North,Card,184.81,Seasonal,Mobile App
T000165,2023-09-22,46612151,Amul Processed Cheese Cube 200g,Cheese & Cheese Products,8,238.0,1904.0,West,UPI,278.88,Business,franchise store
T000166,2025-01-07,78916050,Amul Gouda Cheese 200g,Cheese & Cheese Products,1,500.0,500.0,Central,Cash,26.88,Returning,franchise store
T000167,2025-04-10,25032666,Amul Gold Milk 1L,Dairy Products,10,100.0,1000.0,Central,Cash,106.29,Family,Offline Store
T000168,2025-05-01,1148473,Amul Camel Milk 500ml,Others,10,500.0,5000.0,West,Net Banking,574.18,Occasional,Online Portal
T000169,2025-01-23,18009972,Amul Organic Ghee 500ml,Others,9,500.0,4500.0,South,UPI,487.76,New,Online Portal
T000170,2023-10-03,57937380,Amul Protein Shake Chocolate 200ml,Health & Nutrition,23,600.0,13800.0,East,Cash,441.4,Returning,Online Portal
T000171,2024-05-29,79195263,Amul Kool Saffron Milk 200ml,Beverages,6,120.0,720.0,West,Cash,9.15,New,Offline Store
T000172,2024-07-20,79195263,Amul Kool Saffron Milk 200ml,Beverages,6,120.0,720.0,Central,Cash,85.99,Business,franchise store
T000173,2023-10-14,28937579,Amul Chocolate Donut 80g,Bakery Items,9,429.0,3861.0,East,Cash,79.07,New,Online Portal
T000174,2025-06-05,79291279,Amul Butter 500g,Butter & Spreads,10,200.0,2000.0,North,Cash,293.04,Family,Online Portal
T000175,2024-04-20,24078757,Amul Kesar Pista Ice Cream 1L,Ice Creams,46,300.0,13800.0,South,Cash,982.22,Occasional,Mobile App
T000176,2024-01-17,42543602,Amul Choco Milk 200ml,Beverages (New Flavors),12,301.0,3612.0,Central,UPI,92.68,Occasional,Mobile App
T000177,2024-03-02,83184284,Amul Kool Koko 200ml,Beverages,6,120.0,720.0,Central,Card,142.84,Business,franchise store
T000178,2025-06-30,48334136,Amul Protein Shake Vanilla 200ml,Health & Nutrition,15,600.0,9000.0,North,Card,649.02,Family,Mobile App
T000179,2025-02-15,18009972,Amul Organic Ghee 500ml,Others,17,500.0,8500.0,Central,Card,324.76,Regular,franchise store
T000180,2024-03-23,97994268,Amul Butter Scotch Ice Cream 1L,Ice Creams,26,300.0,7800.0,West,Net Banking,801.28,Occasional,Online Portal
T000181,2024-10-15,88384214,Amul Lite Spread 250g,Butter & Spreads,17,54.0,918.0,South,Wallet,26.5,Business,franchise store
T000182,2024-09-13,23548091,Amul Chocozoo Kids Pack 250g,Chocolates,8,150.0,1200.0,Central,Cash,205.87,Regular,Online Portal
T000183,2024-04-29,11289388,Amul Rasmalai 500g,Specialty Products,18,400.0,7200.0,East,Card,152.25,VIP,Offline Store
T000184,2024-01-14,70167474,Amul Frozen Paratha 400g,Bakery & Frozen,15,250.0,3750.0,Central,UPI,547.79,Business,Mobile App
T000185,2024-06-10,11288909,Amul Mithai Mate Condensed Milk 400g,Dairy Products,15,100.0,1500.0,Central,Cash,32.31,Family,Offline Store
T000186,2024-10-01,5752287,Amul Camel Milk Chocolate 150g,Others,16,123.0,1968.0,East,UPI,227.8,New,franchise store
T000187,2025-05-19,93020688,Amul Cheese Spread Garlic 200g,Butter & Spreads,7,200.0,1400.0,North,Wallet,181.44,Business,Online Portal
T000188,2024-07-02,61133075,Amul Butter Croissant 80g,Bakery Items,14,187.0,2618.0,West,Card,404.12,Family,Offline Store
T000189,2024-01-06,71930565,Amul Cow Ghee 1L,Ghee & Cooking Essentials,27,800.0,21600.0,Central,Net Banking,1756.69,First-time,Mobile App
T000190,2024-07-19,48334136,Amul Protein Shake Vanilla 200ml,Health & Nutrition,14,600.0,8400.0,West,UPI,430.92,Loyal,Mobile App
T000191,2024-05-15,69924743,Amul Shrikhand Mango 500g,Specialty Products,9,400.0,3600.0,West,UPI,534.27,Family,franchise store
T000192,2024-05-16,59239307,Amul Mozzarella Cheese 200g,Cheese & Cheese Products,9,500.0,4500.0,North,Cash,716.38,Occasional,Mobile App
T000193,2024-05-02,72940877,Amul Butter Cookies 200g,Others,9,500.0,4500.0,East,Card,309.15,VIP,Online Portal
T000194,2024-07-05,84729804,Amul Greek Yogurt Mango 100g,Probiotic & Health Range,11,178.0,1958.0,South,Net Banking,279.77,New,Mobile App
T000195,2024-07-06,33992976,Amul Probiotic Dahi 400g,Probiotic & Health Range,6,250.0,1500.0,Central,UPI,142.11,Regular,franchise store
T000196,2023-11-17,43726257,Amul Shrikhand Kesar 500g,Specialty Products,8,400.0,3200.0,West,Wallet,329.4,Occasional,Offline Store
